Block Name,Point ID,vtkOriginalPointIds,alphat,div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus
Airfoil,75,75,6.50648e-12,-3.6754e-07,2.58267e-07,0,0,0,0,0,5.53372e-12,23947.2,1.0001,0.3822,0.0531889,1,1.07187,0.999419,1.00063,0,0,0,0,0.580737
Airfoil,76,76,6.47702e-12,-3.70861e-07,2.56151e-07,0,0,0,0,0,5.50865e-12,23891.4,1.0001,0.391879,0.0533116,0,0.395489,0.999421,1.00063,0,0,0,0,0.579874
Airfoil,77,77,6.47702e-12,-3.70861e-07,2.56151e-07,0,0,0,0,0,5.50865e-12,23891.4,1.0001,0.391879,0.0533116,1,1.07537,0.999421,1.00063,0,0,0,0,0.579874
Airfoil,78,78,6.47309e-12,-3.72507e-07,2.55285e-07,0,0,0,0,0,5.50531e-12,23832,1.0001,0.401558,0.0534082,0,0.405094,0.999422,1.00063,0,0,0,0,0.579759
Airfoil,79,79,6.47309e-12,-3.72507e-07,2.55285e-07,0,0,0,0,0,5.50531e-12,23832,1.0001,0.401558,0.0534082,1,1.07894,0.999422,1.00063,0,0,0,0,0.579759
Airfoil,80,80,6.45936e-12,-3.74658e-07,2.539e-07,0,0,0,0,0,5.49364e-12,23768.1,1.0001,0.411237,0.053504,0,0.414703,0.999421,1.00063,0,0,0,0,0.579355
Airfoil,81,81,6.45936e-12,-3.74658e-07,2.539e-07,0,0,0,0,0,5.49364e-12,23768.1,1.0001,0.411237,0.053504,1,1.08258,0.999421,1.00063,0,0,0,0,0.579355
Airfoil,82,82,6.4593e-12,-3.77299e-07,2.53153e-07,0,0,0,0,0,5.49357e-12,23700.1,1.0001,0.420917,0.0535714,0,0.424312,0.999422,1.00063,0,0,0,0,0.579353
Airfoil,83,83,6.4593e-12,-3.77299e-07,2.53153e-07,0,0,0,0,0,5.49357e-12,23700.1,1.0001,0.420917,0.0535714,1,1.0863,0.999422,1.00063,0,0,0,0,0.579353
Airfoil,84,84,6.44491e-12,-3.80634e-07,2.51681e-07,0,0,0,0,0,5.48135e-12,23630,1.0001,0.430596,0.0536387,0,0.433924,0.99942,1.00063,0,0,0,0,0.578928
