# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1138            	2.39516952e-02	4.00086126e-01	-3.76134431e-01	-7.76220558e-01	-9.22819473e-02	-6.83938610e-01	2.95828332e-01	3.88110279e-01	1.19758476e-02	1.60320303e-19	1.19758476e-02	-1.19758476e-02
1139            	2.39377445e-02	4.00115732e-01	-3.76177988e-01	-7.76293720e-01	-9.23129714e-02	-6.83980748e-01	2.95833888e-01	3.88146860e-01	1.19688722e-02	1.60320413e-19	1.19688722e-02	-1.19688722e-02
1140            	2.39244926e-02	4.00142183e-01	-3.76217690e-01	-7.76359872e-01	-9.23417440e-02	-6.84018128e-01	2.95838192e-01	3.88179936e-01	1.19622463e-02	1.60320501e-19	1.19622463e-02	-1.19622463e-02
1141            	2.39108346e-02	4.00169080e-01	-3.76258245e-01	-7.76427325e-01	-9.23714789e-02	-6.84055846e-01	2.95842184e-01	3.88213663e-01	1.19554173e-02	1.60320572e-19	1.19554173e-02	-1.19554173e-02
1142            	2.38976363e-02	4.00195826e-01	-3.76298190e-01	-7.76494015e-01	-9.24003500e-02	-6.84093665e-01	2.95846658e-01	3.88247008e-01	1.19488181e-02	1.60320673e-19	1.19488181e-02	-1.19488181e-02
1143            	2.38848029e-02	4.00223514e-01	-3.76338711e-01	-7.76562225e-01	-9.24291452e-02	-6.84133080e-01	2.95851968e-01	3.88281113e-01	1.19424015e-02	1.60320758e-19	1.19424015e-02	-1.19424015e-02
1144            	2.38718852e-02	4.00251004e-01	-3.76379118e-01	-7.76630122e-01	-9.24580179e-02	-6.84172104e-01	2.95857043e-01	3.88315061e-01	1.19359426e-02	1.60320844e-19	1.19359426e-02	-1.19359426e-02
1145            	2.38593413e-02	4.00277262e-01	-3.76417920e-01	-7.76695182e-01	-9.24861186e-02	-6.84209063e-01	2.95861472e-01	3.88347591e-01	1.19296706e-02	1.60320925e-19	1.19296706e-02	-1.19296706e-02
1146            	2.38461683e-02	4.00303745e-01	-3.76457577e-01	-7.76761322e-01	-9.25150259e-02	-6.84246296e-01	2.95865635e-01	3.88380661e-01	1.19230842e-02	1.60321013e-19	1.19230842e-02	-1.19230842e-02
1147            	2.38326833e-02	4.00330416e-01	-3.76497732e-01	-7.76828148e-01	-9.25442634e-02	-6.84283885e-01	2.95869811e-01	3.88414074e-01	1.19163416e-02	1.60321108e-19	1.19163416e-02	-1.19163416e-02
1148            	2.38192723e-02	4.00356796e-01	-3.76537524e-01	-7.76894320e-01	-9.25734052e-02	-6.84320915e-01	2.95873755e-01	3.88447160e-01	1.19096361e-02	1.60321201e-19	1.19096361e-02	-1.19096361e-02
1149            	2.38064761e-02	4.00381665e-01	-3.76575189e-01	-7.76956853e-01	-9.26012112e-02	-6.84355642e-01	2.95877215e-01	3.88478427e-01	1.19032380e-02	1.60321279e-19	1.19032380e-02	-1.19032380e-02
1150            	2.37931870e-02	4.00409102e-01	-3.76615915e-01	-7.77025017e-01	-9.26306771e-02	-6.84394340e-01	2.95881832e-01	3.88512509e-01	1.18965935e-02	1.60321372e-19	1.18965935e-02	-1.18965935e-02
1151            	2.37804453e-02	4.00437121e-01	-3.76656676e-01	-7.77093797e-01	-9.26598045e-02	-6.84433993e-01	2.95887094e-01	3.88546899e-01	1.18902227e-02	1.60321447e-19	1.18902227e-02	-1.18902227e-02
