# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
192             	4.46085072e-02	2.60733282e-01	-2.16124775e-01	-4.76858057e-01	-1.38819416e-02	-4.62976115e-01	2.24547087e-01	2.38429028e-01	2.23042536e-02	1.59618464e-19	2.23042536e-02	-2.23042536e-02
193             	4.44154021e-02	2.60913884e-01	-2.16498482e-01	-4.77412366e-01	-1.41299677e-02	-4.63282398e-01	2.24576215e-01	2.38706183e-01	2.22077011e-02	1.59657478e-19	2.22077011e-02	-2.22077011e-02
194             	4.45594613e-02	2.61437260e-01	-2.16877798e-01	-4.78315058e-01	-1.41564575e-02	-4.64158600e-01	2.25001071e-01	2.39157529e-01	2.22797307e-02	1.59615279e-19	2.22797307e-02	-2.22797307e-02
195             	4.44136524e-02	2.61619678e-01	-2.17206026e-01	-4.78825704e-01	-1.44354247e-02	-4.64390279e-01	2.24977427e-01	2.39412852e-01	2.22068262e-02	1.59659394e-19	2.22068262e-02	-2.22068262e-02
196             	4.45043095e-02	2.62125667e-01	-2.17621357e-01	-4.79747024e-01	-1.44376880e-02	-4.65309336e-01	2.25435824e-01	2.39873512e-01	2.22521547e-02	1.59614237e-19	2.22521547e-02	-2.22521547e-02
197             	4.44218596e-02	2.62338137e-01	-2.17916278e-01	-4.80254415e-01	-1.47294400e-02	-4.65524975e-01	2.25397768e-01	2.40127208e-01	2.22109298e-02	1.59658601e-19	2.22109298e-02	-2.22109298e-02
198             	4.44422151e-02	2.62785630e-01	-2.18343415e-01	-4.81129045e-01	-1.47315950e-02	-4.66397450e-01	2.25832927e-01	2.40564522e-01	2.22211075e-02	1.59616285e-19	2.22211075e-02	-2.22211075e-02
199             	4.44235780e-02	2.63027570e-01	-2.18603992e-01	-4.81631562e-01	-1.50172361e-02	-4.66614325e-01	2.25798545e-01	2.40815781e-01	2.22117890e-02	1.59655762e-19	2.22117890e-02	-2.22117890e-02
200             	4.43885972e-02	2.63462234e-01	-2.19073637e-01	-4.82535872e-01	-1.50285143e-02	-4.67507357e-01	2.26239421e-01	2.41267936e-01	2.21942986e-02	1.59619676e-19	2.21942986e-02	-2.21942986e-02
201             	4.44242042e-02	2.63723795e-01	-2.19299591e-01	-4.83023387e-01	-1.53002885e-02	-4.67723098e-01	2.26211405e-01	2.41511693e-01	2.22121021e-02	1.59651524e-19	2.22121021e-02	-2.22121021e-02
