Block Name,Point ID,vtkOriginalPointIds,alphat,Cp(upper),div(phi),k,Ma,momentErrorMap_0,momentErrorMap_1,momentErrorMap_2,momentErrorMap_Magnitude,nut,omega,p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude,yPlus,,Cp
Airfoil,46,89,2.34E-07,185.414,-2.81E-07,6.07E-05,0,0,0,0,0,1.99E-07,34.8069,1.00079,0.978737,0.0596364,1,1.40053,1.00011,1.00063,0,0,0,0,22.9126,,0.147470599
Airfoil,47,90,1.77E-07,185.239,-2.55E-07,4.80E-05,0,0,0,0,0,1.51E-07,25.648,0.999849,1,0.0604,0,1.00182,0.999202,1.00059,0,0,0,0,19.1189,,-0.028187418
Airfoil,48,91,1.77E-07,185.239,-2.55E-07,4.80E-05,0,0,0,0,0,1.51E-07,25.648,0.999849,1,0.0604,1,1.4155,0.999202,1.00059,0,0,0,0,19.1189,,-0.028187418
Airfoil,49,92,4.52E-07,185.557,-8.95E-08,1.24E-05,0,0,0,0,0,3.84E-07,14.6412,1.00156,0.0195381,0.029705,1,1.00063,1.00097,1.00056,0,0,0,0,37.4292,,0.291207766
Airfoil,50,94,4.12E-07,185.764,-8.11E-08,5.70E-06,0,0,0,0,0,3.50E-07,11.09,1.00268,0.0146127,0.02671,1,1.00046,1.00187,1.00078,0,0,0,0,34.7491,,0.500280007
Airfoil,51,96,3.16E-07,185.956,-8.81E-08,2.26E-06,0,0,0,0,0,2.68E-07,9.30169,1.00372,0.010064,0.0231555,1,1.00032,1.00264,1.00106,0,0,0,0,28.3512,,0.694418518
Airfoil,52,98,1.91E-07,186.145,-9.40E-08,9.50E-07,0,0,0,0,0,1.62E-07,8.14168,1.00474,0.00615603,0.0189187,1,1.0002,1.0034,1.00132,0,0,0,0,20.0403,,0.884823595
Airfoil,53,100,7.89E-08,186.248,-8.67E-08,3.46E-07,0,0,0,0,0,6.68E-08,7.46411,1.00529,0.00336477,0.0138639,1,1.0001,1.00381,1.00146,0,0,0,0,12.3076,,0.987493
Airfoil,54,102,1.28E-07,186.216,-4.54E-08,2.62E-07,0,0,0,0,0,1.08E-07,7.28202,1.00512,0.00129513,0.00850141,1,1.00004,1.00369,1.00142,0,0,0,0,15.5723,,0.95575882
Airfoil,55,104,3.02E-07,186.021,-8.94E-09,3.96E-07,0,0,0,0,0,2.56E-07,7.25545,1.00407,0.000277108,0.0028209,1,1,1.00291,1.00115,0,0,0,0,27.417,,0.759753593
Airfoil,56,106,4.90E-07,185.67,1.36E-08,4.76E-07,0,0,0,0,0,4.16E-07,7.30867,1.00218,0.000302351,-0.00292577,1,1,1.00155,1.00061,0,0,0,0,40.0797,,0.406944185
