# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.03413075e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
93              	6.00877614e-02	-3.43771141e-01	4.03858903e-01	-7.47630044e-01	-1.10135955e-01	-6.37494088e-01	2.63679066e-01	-3.73815022e-01	-3.00438807e-02	-1.84809230e-20	-3.00438807e-02	3.00438807e-02
94              	6.00644834e-02	-3.44191244e-01	4.04255728e-01	-7.48446972e-01	-1.09923991e-01	-6.38522981e-01	2.64299495e-01	-3.74223486e-01	-3.00322417e-02	-1.85077558e-20	-3.00322417e-02	3.00322417e-02
95              	6.00770338e-02	-3.44723916e-01	4.04800950e-01	-7.49524866e-01	-1.09611289e-01	-6.39913576e-01	2.65151144e-01	-3.74762433e-01	-3.00385169e-02	-1.85321261e-20	-3.00385169e-02	3.00385169e-02
96              	6.03590323e-02	-3.46156118e-01	4.06515150e-01	-7.52671268e-01	-1.08807956e-01	-6.43863312e-01	2.67527678e-01	-3.76335634e-01	-3.01795162e-02	-1.85648038e-20	-3.01795162e-02	3.01795162e-02
97              	6.05521329e-02	-3.47133328e-01	4.07685461e-01	-7.54818789e-01	-1.08219442e-01	-6.46599347e-01	2.69189952e-01	-3.77409394e-01	-3.02760664e-02	-1.85944058e-20	-3.02760664e-02	3.02760664e-02
98              	6.09428981e-02	-3.48679029e-01	4.09621927e-01	-7.58300956e-01	-1.07452978e-01	-6.50847978e-01	2.71697500e-01	-3.79150478e-01	-3.04714490e-02	-1.86214748e-20	-3.04714490e-02	3.04714490e-02
99              	6.11162023e-02	-3.49542939e-01	4.10659141e-01	-7.60202080e-01	-1.07035594e-01	-6.53166487e-01	2.73065446e-01	-3.80101040e-01	-3.05581011e-02	-1.86457314e-20	-3.05581011e-02	3.05581011e-02
100             	6.11108277e-02	-3.49824712e-01	4.10935539e-01	-7.60760251e-01	-1.06885058e-01	-6.53875193e-01	2.73495068e-01	-3.80380125e-01	-3.05554139e-02	-1.86696705e-20	-3.05554139e-02	3.05554139e-02
101             	6.10803628e-02	-3.50073413e-01	4.11153776e-01	-7.61227189e-01	-1.06748272e-01	-6.54478917e-01	2.73865323e-01	-3.80613595e-01	-3.05401814e-02	-1.86944145e-20	-3.05401814e-02	3.05401814e-02
102             	6.11021325e-02	-3.50593337e-01	4.11695470e-01	-7.62288807e-01	-1.06477137e-01	-6.55811669e-01	2.74667266e-01	-3.81144403e-01	-3.05510662e-02	-1.87300005e-20	-3.05510662e-02	3.05510662e-02
