Time;Cd;Cl
233.0;0.0439788018;-0.503640334
234.0;0.0440051499;-0.504267574
235.0;0.0439635323;-0.504828128
236.0;0.0439651334;-0.505495854
237.0;0.0439479651;-0.506015866
238.0;0.043924973;-0.506716165
239.0;0.0439311574;-0.507204787
240.0;0.0438860067;-0.507929941
241.0;0.0439116081;-0.508394361
242.0;0.0438487759;-0.509131074
243.0;0.0438889921;-0.509594201
244.0;0.043813367;-0.510317854
245.0;0.0438631353;-0.510800511
246.0;0.0437811627;-0.511497444
247.0;0.0438333819;-0.512008242
248.0;0.0437519871;-0.512673684
249.0;0.0437999107;-0.513218676
250.0;0.0437255266;-0.513848616
251.0;0.0437630805;-0.514428389
252.0;0.0437014445;-0.515022558
253.0;0.0437233115;-0.515635111
254.0;0.0436789149;-0.516198589
255.0;0.0436820572;-0.516840783
256.0;0.043656961;-0.517377738
257.0;0.043640227;-0.518042436
258.0;0.0436357624;-0.518556815
259.0;0.0435991165;-0.519239746
260.0;0.0436082019;-0.519735915
261.0;0.0435608563;-0.520453482
262.0;0.0435794239;-0.5209342
263.0;0.0435251579;-0.521654918
264.0;0.0435489405;-0.52213964
265.0;0.043491001;-0.522845133
266.0;0.0435151417;-0.523343531
267.0;0.0434584668;-0.524031583
268.0;0.0434780115;-0.524549738
269.0;0.0434273398;-0.525218177
270.0;0.0434384132;-0.525761153
271.0;0.043396424;-0.52639867
272.0;0.0433969525;-0.526972958
273.0;0.0433649641;-0.52757238
274.0;0.043353482;-0.528176547
275.0;0.0433319686;-0.528742766
276.0;0.0433088979;-0.529376541
277.0;0.0432971399;-0.529913487
278.0;0.0432642184;-0.530575156
279.0;0.0432600108;-0.531086285
280.0;0.0432193883;-0.531767908
281.0;0.0432202759;-0.532263292
282.0;0.0431739724;-0.53294561
283.0;0.0431777947;-0.533440324
284.0;0.0431321394;-0.534117498
285.0;0.0431310032;-0.534618997
286.0;0.0430842;-0.535275761
287.0;0.0430835623;-0.535790545
288.0;0.0430421686;-0.536436648
289.0;0.0430317188;-0.536948049
290.0;0.0429957428;-0.537590512
291.0;0.0429794349;-0.538131603
292.0;0.0429496198;-0.538741223
293.0;0.0429261903;-0.539304105
294.0;0.0429014651;-0.539880119
295.0;0.042871729;-0.540468702
296.0;0.0428510935;-0.541013787
297.0;0.0428165234;-0.541625118
298.0;0.042798738;-0.542145572
299.0;0.0427610994;-0.542777586
300.0;0.0427447791;-0.543277197
301.0;0.0427060472;-0.54391811
302.0;0.0426891923;-0.544431215
303.0;0.0426486658;-0.545046663
304.0;0.0426340482;-0.545543672
305.0;0.0425936277;-0.546155182
306.0;0.0425766998;-0.546663708
307.0;0.0425381243;-0.547266539
308.0;0.0425185642;-0.547790672
309.0;0.0424830036;-0.548369713
310.0;0.0424601982;-0.548903832
311.0;0.0424282885;-0.549460722
312.0;0.0424014065;-0.550007356
313.0;0.0423732864;-0.550545692
314.0;0.0423432118;-0.551110312
315.0;0.0423189884;-0.551629788
316.0;0.0422862573;-0.552205658
317.0;0.0422649789;-0.552710767
318.0;0.0422319796;-0.553285066
319.0;0.0422115566;-0.553775014
320.0;0.042178106;-0.554376413
321.0;0.0421583395;-0.554880974
322.0;0.0421270631;-0.555447053
323.0;0.0421067123;-0.555935458
324.0;0.042075886;-0.556509471
325.0;0.0420573162;-0.557005393
326.0;0.0420290071;-0.557575165
327.0;0.0420096204;-0.558087074
328.0;0.0419840236;-0.558641155
329.0;0.0419642655;-0.559173126
330.0;0.041941956;-0.559699005
331.0;0.0419207562;-0.560232756
332.0;0.0419015748;-0.560764219
333.0;0.041880918;-0.561319654
334.0;0.041864719;-0.561842808
335.0;0.041843703;-0.562399502
336.0;0.0418296399;-0.56292204
337.0;0.0418100625;-0.563488645
338.0;0.0417983627;-0.564010472
339.0;0.0417793535;-0.564587223
340.0;0.0417693044;-0.565103
341.0;0.0417513189;-0.565678925
342.0;0.0417429831;-0.566211747
343.0;0.0417271093;-0.566775255
344.0;0.0417194961;-0.567318977
345.0;0.0417057197;-0.567881584
346.0;0.0416984156;-0.568440164
347.0;0.0416871418;-0.568990711
348.0;0.041679474;-0.56956859
349.0;0.0416708022;-0.570113
350.0;0.0416633811;-0.57070162
351.0;0.0416571489;-0.571243956
352.0;0.0416497973;-0.571842646
353.0;0.0416456494;-0.572384572
354.0;0.0416379723;-0.572977087
355.0;0.041635894;-0.573557995
356.0;0.0416292039;-0.574134196
357.0;0.0416270264;-0.574687505
358.0;0.0416207853;-0.575291853
359.0;0.041621072;-0.57587786
360.0;0.0416148948;-0.57646198
361.0;0.0416148517;-0.577033773
362.0;0.0416086181;-0.577615461
363.0;0.0416088293;-0.578191701
364.0;0.0416033875;-0.578762332
365.0;0.0416036516;-0.579367392
366.0;0.0415999931;-0.579947526
367.0;0.0415994548;-0.580532847
368.0;0.0415951486;-0.581089294
369.0;0.0415938053;-0.581700876
370.0;0.0415916621;-0.582269677
371.0;0.0415890183;-0.58285735
372.0;0.0415859728;-0.583404188
373.0;0.0415825529;-0.584018391
374.0;0.0415815668;-0.584583636
375.0;0.0415757476;-0.585149451
376.0;0.0415731532;-0.585712566
377.0;0.0415684196;-0.586306011
378.0;0.0415666984;-0.586869718
379.0;0.0415609978;-0.587449406
380.0;0.0415590849;-0.588027203
381.0;0.0415515902;-0.58856981
382.0;0.0415464316;-0.589122902
383.0;0.0415398389;-0.589695531
384.0;0.0415369141;-0.590279275
385.0;0.0415291567;-0.59082189
386.0;0.0415223544;-0.591371027
387.0;0.0415133129;-0.591917908
388.0;0.0415063983;-0.592478449
389.0;0.0414978862;-0.593024722
390.0;0.0414894722;-0.593581969
391.0;0.04148;-0.594117225
392.0;0.0414693968;-0.594666504
393.0;0.0414595095;-0.595200585
394.0;0.0414475975;-0.59574752
395.0;0.0414373247;-0.596278604
396.0;0.0414239058;-0.596821069
397.0;0.0414126806;-0.597352213
398.0;0.0413977832;-0.597887671
399.0;0.0413854026;-0.598413405
400.0;0.041369267;-0.598940853
401.0;0.0413557239;-0.59946497
402.0;0.0413384641;-0.599986899
403.0;0.0413234764;-0.600510106
404.0;0.0413053564;-0.601028833
405.0;0.0412890823;-0.601552383
406.0;0.0412704768;-0.602049999
407.0;0.041251568;-0.602587736
408.0;0.0412328368;-0.603092861
409.0;0.0412129527;-0.603604518
410.0;0.0411924691;-0.604104535
411.0;0.0411714903;-0.604605734
412.0;0.0411499438;-0.605111664
413.0;0.041128005;-0.605629882
414.0;0.0411061489;-0.606126153
415.0;0.0410824408;-0.606633225
416.0;0.0410591895;-0.607123084
417.0;0.0410344129;-0.607625816
418.0;0.0410104354;-0.608114957
419.0;0.0409849371;-0.60861594
420.0;0.0409599965;-0.609105389
421.0;0.0409335939;-0.609600984
422.0;0.0409075244;-0.610087556
423.0;0.0408802987;-0.610576905
424.0;0.0408533075;-0.611061382
425.0;0.0408253962;-0.61154611
426.0;0.0407973184;-0.612032091
427.0;0.0407686191;-0.612513846
428.0;0.0407396513;-0.612998203
429.0;0.0407095016;-0.613485454
430.0;0.0406812327;-0.613951272
431.0;0.0406498913;-0.614432975
432.0;0.0406206524;-0.614901277
433.0;0.0405894684;-0.61537118
434.0;0.0405573078;-0.615861447
435.0;0.0405265608;-0.616329176
436.0;0.0404954479;-0.61679514
437.0;0.0404627417;-0.617265919
438.0;0.0404305412;-0.61773595
439.0;0.0403979471;-0.618200596
440.0;0.040365623;-0.618661198
441.0;0.0403328439;-0.619123008
442.0;0.0402995268;-0.619589344
443.0;0.0402658914;-0.620056377
444.0;0.0402328171;-0.620510136
445.0;0.0401989554;-0.620968202
446.0;0.0401650042;-0.621425149
447.0;0.0401305948;-0.621888507
448.0;0.0400974421;-0.622335893
449.0;0.0400626498;-0.622797618
450.0;0.0400288842;-0.623247473
451.0;0.0399945863;-0.623700807
452.0;0.039960579;-0.624146534
453.0;0.0399260685;-0.624597706
454.0;0.039891927;-0.625041904
455.0;0.0398577988;-0.625487022
456.0;0.0398232718;-0.625931124
457.0;0.0397875644;-0.626384942
458.0;0.0397540342;-0.626819643
459.0;0.0397186603;-0.627267638
460.0;0.0396848271;-0.627705705
461.0;0.0396503057;-0.628144369
462.0;0.0396160552;-0.628581806
463.0;0.0395813213;-0.629020415
464.0;0.0395472221;-0.629458651
465.0;0.0395127621;-0.629893165
466.0;0.0394785665;-0.630328603
467.0;0.0394440875;-0.630759148
468.0;0.0394097517;-0.631192354
469.0;0.0393754613;-0.631620513
470.0;0.0393410413;-0.63205283
471.0;0.0393065486;-0.632482667
472.0;0.0392723969;-0.632909399
473.0;0.0392387043;-0.633330686
474.0;0.039205024;-0.633753347
475.0;0.0391711547;-0.634177379
476.0;0.0391364753;-0.634603106
477.0;0.0391023695;-0.635023977
478.0;0.0390683722;-0.635446
479.0;0.0390347725;-0.635864418
480.0;0.0390008089;-0.636283646
481.0;0.0389676124;-0.636701372
482.0;0.0389338109;-0.637117155
483.0;0.038900287;-0.63753266
484.0;0.0388668959;-0.637946804
485.0;0.0388334;-0.638361002
486.0;0.0388001879;-0.638772183
487.0;0.0387667868;-0.639184372
488.0;0.0387335003;-0.63959252
489.0;0.0387006219;-0.640003929
490.0;0.0386677187;-0.640408537
491.0;0.0386346872;-0.640816516
492.0;0.0386021546;-0.641222475
493.0;0.038569005;-0.641630483
494.0;0.0385363257;-0.642034174
495.0;0.0385031879;-0.64244276
496.0;0.0384711029;-0.642841562
497.0;0.0384385352;-0.643241202
498.0;0.0384069176;-0.643641627
499.0;0.0383743766;-0.644042373
500.0;0.038342101;-0.644441646
501.0;0.0383099033;-0.644841181
502.0;0.038277762;-0.645239125
503.0;0.0382452214;-0.645637332
504.0;0.0382139852;-0.646032964
505.0;0.0381821795;-0.646425838
506.0;0.0381504095;-0.646820572
507.0;0.0381189291;-0.64721401
508.0;0.0380870118;-0.647607341
509.0;0.0380554172;-0.647998446
510.0;0.0380241087;-0.648392545
511.0;0.0379928237;-0.648782217
512.0;0.0379613033;-0.649172021
513.0;0.0379304412;-0.649560909
514.0;0.0378994623;-0.649947127
515.0;0.0378684179;-0.650335283
516.0;0.037837388;-0.650725422
517.0;0.0378064495;-0.65111245
518.0;0.0377754228;-0.651498409
519.0;0.0377450117;-0.651884476
520.0;0.0377141878;-0.652268627
521.0;0.037683606;-0.652652307
522.0;0.0376538167;-0.653033701
523.0;0.0376232561;-0.653418693
524.0;0.0375927472;-0.653801295
525.0;0.0375624668;-0.654185268
526.0;0.0375321706;-0.654565784
527.0;0.0375020915;-0.654946782
528.0;0.0374724739;-0.655327138
529.0;0.0374424849;-0.655707257
530.0;0.0374126016;-0.656084947
531.0;0.0373823853;-0.65646847
532.0;0.0373530233;-0.656844518
533.0;0.0373233293;-0.657220353
534.0;0.0372942209;-0.657596651
535.0;0.0372645369;-0.657972956
536.0;0.0372351666;-0.658348614
537.0;0.0372059234;-0.658726401
538.0;0.0371766812;-0.659101711
539.0;0.0371470664;-0.659477823
540.0;0.0371183636;-0.659850844
541.0;0.0370891273;-0.660221961
542.0;0.037060112;-0.660593899
543.0;0.0370316697;-0.660964345
544.0;0.0370025704;-0.661337744
545.0;0.0369735741;-0.661708983
546.0;0.0369448711;-0.662082164
547.0;0.0369161341;-0.662451824
548.0;0.0368875166;-0.662821104
549.0;0.0368592902;-0.663190271
550.0;0.0368307093;-0.663559044
551.0;0.0368023129;-0.66392601
552.0;0.0367740551;-0.664295485
553.0;0.0367457223;-0.664662562
554.0;0.0367174101;-0.665029763
555.0;0.0366894883;-0.665397997
556.0;0.0366612446;-0.665764332
557.0;0.0366332336;-0.666129506
558.0;0.0366053396;-0.66649604
559.0;0.0365773437;-0.666860588
560.0;0.0365493751;-0.667224208
561.0;0.0365217285;-0.66758977
562.0;0.0364938735;-0.667953295
563.0;0.0364662738;-0.668316235
564.0;0.0364388034;-0.668679484
565.0;0.0364106586;-0.669043853
566.0;0.0363832346;-0.669401998
567.0;0.0363558362;-0.669762671
568.0;0.0363283938;-0.670122862
569.0;0.0363009965;-0.67048422
570.0;0.0362735655;-0.670847754
571.0;0.0362465373;-0.671203958
572.0;0.0362191473;-0.671561139
573.0;0.0361917937;-0.671920997
574.0;0.0361643261;-0.672278717
575.0;0.0361369738;-0.672635501
576.0;0.0361102772;-0.672990573
577.0;0.0360828401;-0.673348433
578.0;0.0360556892;-0.673704822
579.0;0.0360286721;-0.674059487
580.0;0.0360018278;-0.674415557
581.0;0.0359747649;-0.67476896
582.0;0.0359478373;-0.675121372
583.0;0.035921045;-0.6754741
584.0;0.0358940163;-0.675825638
585.0;0.0358671359;-0.676176894
586.0;0.0358402925;-0.676530612
587.0;0.035813349;-0.676880926
588.0;0.0357868903;-0.67722733
