Time;Cd;Cl
456.0;0.080366136;-0.980760548
457.0;0.0803427762;-0.980895778
458.0;0.080317356;-0.981072093
459.0;0.0802956992;-0.98123631
460.0;0.0802757357;-0.981418097
461.0;0.0802566453;-0.981596989
462.0;0.080236505;-0.981791932
463.0;0.0802139916;-0.981992261
464.0;0.0801937758;-0.982165547
465.0;0.0801736854;-0.982344076
466.0;0.0801537419;-0.98251838
467.0;0.0801289709;-0.982743421
468.0;0.0801054518;-0.982923617
469.0;0.0800808029;-0.983094742
470.0;0.0800534178;-0.983263004
471.0;0.0800275692;-0.983399321
472.0;0.0799973654;-0.98354967
473.0;0.0799692513;-0.983701457
474.0;0.079939411;-0.983895343
475.0;0.0799173547;-0.984073017
476.0;0.0798949831;-0.984300321
477.0;0.0798732268;-0.984590576
478.0;0.0798580481;-0.984832445
479.0;0.0798482759;-0.985029867
480.0;0.0798413232;-0.985237299
481.0;0.0798357823;-0.985442763
482.0;0.0798309272;-0.985644166
483.0;0.079825993;-0.985922342
484.0;0.0798184704;-0.986182405
485.0;0.0798090373;-0.98644418
486.0;0.0797967229;-0.98671995
487.0;0.0797816612;-0.986977307
488.0;0.0797659975;-0.98720644
489.0;0.0797522016;-0.98740479
490.0;0.0797395244;-0.987644059
491.0;0.0797279476;-0.987889825
492.0;0.0797171258;-0.98814831
493.0;0.0797057234;-0.988455659
494.0;0.0796929767;-0.988728663
495.0;0.0796793647;-0.989017545
496.0;0.0796654656;-0.989225394
497.0;0.0796525467;-0.989426476
498.0;0.0796414701;-0.989590592
499.0;0.0796339714;-0.989784617
500.0;0.0796297318;-0.990026909
501.0;0.0796272505;-0.990304827
502.0;0.0796242548;-0.990596897
503.0;0.0796197791;-0.990911055
504.0;0.0796129725;-0.991176002
505.0;0.0796054201;-0.991433698
506.0;0.0795970038;-0.991663051
507.0;0.0795892241;-0.991909371
508.0;0.079582406;-0.992172292
509.0;0.0795756463;-0.992484181
510.0;0.0795671863;-0.992766559
511.0;0.0795572936;-0.99304392
512.0;0.0795470669;-0.993284897
513.0;0.079538571;-0.993480734
514.0;0.0795317488;-0.993683389
515.0;0.0795247466;-0.993877807
516.0;0.0795196027;-0.994084736
517.0;0.0795216589;-0.994374656
518.0;0.0795285298;-0.994702776
519.0;0.0795389869;-0.99507727
520.0;0.0795460138;-0.995392458
521.0;0.0795518734;-0.995709388
522.0;0.0795545576;-0.996020724
523.0;0.0795524105;-0.996287144
524.0;0.0795463414;-0.996512349
525.0;0.0795365771;-0.996698496
526.0;0.0795268864;-0.996897247
527.0;0.0795207333;-0.997109464
528.0;0.0795219012;-0.997385493
529.0;0.0795294046;-0.997695302
530.0;0.0795416876;-0.998037059
531.0;0.0795557517;-0.998396188
532.0;0.0795657236;-0.998699609
533.0;0.0795720103;-0.998982946
534.0;0.0795749112;-0.999210287
535.0;0.0795847412;-0.999494399
536.0;0.0796002238;-0.99979477
537.0;0.0796317434;-1.0002293
538.0;0.0796616189;-1.00063253
539.0;0.0796994237;-1.00111726
540.0;0.0797302492;-1.00154035
541.0;0.0797568846;-1.00192429
542.0;0.0797761783;-1.00223634
543.0;0.0797880309;-1.00248564
544.0;0.079797528;-1.00271382
545.0;0.0798110339;-1.00296514
546.0;0.0798346344;-1.00328123
547.0;0.0798743679;-1.00371871
548.0;0.0799264363;-1.0042554
549.0;0.0799719575;-1.00472958
550.0;0.0800228852;-1.00525196
551.0;0.0800592982;-1.00565781
552.0;0.0800890398;-1.00600792
553.0;0.0801131809;-1.00628978
554.0;0.0801514561;-1.00664456
555.0;0.0802081459;-1.00711027
556.0;0.0802849722;-1.0077184
557.0;0.0803567782;-1.00829506
558.0;0.0804288924;-1.00887444
559.0;0.080501246;-1.00945571
560.0;0.0805624238;-1.00995243
561.0;0.0806133529;-1.01037181
562.0;0.0806499257;-1.01068383
563.0;0.0806817923;-1.01097715
564.0;0.0807072182;-1.01124081
565.0;0.0807446104;-1.01160885
566.0;0.0808016541;-1.01213931
567.0;0.080880425;-1.01281535
568.0;0.0809642369;-1.01348369
569.0;0.0810591844;-1.01417723
570.0;0.0811753913;-1.01495907
571.0;0.0812739908;-1.01559788
572.0;0.0813499343;-1.01607917
573.0;0.0814244689;-1.01653933
574.0;0.0814813761;-1.01689833
575.0;0.0815378917;-1.01727506
576.0;0.0815867338;-1.01766022
577.0;0.0816358248;-1.01812455
578.0;0.0816847557;-1.01865393
579.0;0.0817365094;-1.01919958
580.0;0.0819678543;-1.021114
581.0;0.0819671788;-1.02120359
582.0;0.0820030936;-1.02143489
583.0;0.082147034;-1.02213347
584.0;0.0822319627;-1.02256394
585.0;0.082476343;-1.0239691
586.0;0.0824898166;-1.02412248
587.0;0.082512389;-1.02437878
588.0;0.082531574;-1.02469304
589.0;0.0825503728;-1.02505812
590.0;0.0825753533;-1.02544642
591.0;0.0826208126;-1.02598964
592.0;0.0826931387;-1.02670568
593.0;0.0828716045;-1.02812009
594.0;0.0829136297;-1.02847899
595.0;0.0831119488;-1.02968948
596.0;0.0831474107;-1.02993807
597.0;0.0832084364;-1.03032952
598.0;0.0834077376;-1.03162152
599.0;0.0834245455;-1.03182275
600.0;0.0834487661;-1.03214485
601.0;0.0834679172;-1.03253141
602.0;0.0834834591;-1.03288117
603.0;0.083508168;-1.03331367
604.0;0.083542588;-1.03378999
605.0;0.083584188;-1.03430062
606.0;0.0836391155;-1.03487927
607.0;0.0837929242;-1.03605742
608.0;0.0838089193;-1.03625401
609.0;0.0839601874;-1.03724375
610.0;0.0839869819;-1.03749299
611.0;0.0840610254;-1.03806282
612.0;0.0842079871;-1.03923425
613.0;0.0842474655;-1.03962831
614.0;0.0842924065;-1.04012262
615.0;0.084342064;-1.04067774
616.0;0.0844060938;-1.04135797
617.0;0.0844744964;-1.0420429
618.0;0.0845369204;-1.04261769
619.0;0.0846099114;-1.04323004
620.0;0.0847204458;-1.04409796
621.0;0.0847440235;-1.04435752
622.0;0.0848335243;-1.04505739
623.0;0.0848958552;-1.04556755
624.0;0.0850189866;-1.04650642
625.0;0.0850642806;-1.04691856
626.0;0.0851733989;-1.04785115
627.0;0.0852189716;-1.04827213
628.0;0.0852932824;-1.04895401
629.0;0.08538501;-1.04976653
630.0;0.0854834312;-1.05059153
631.0;0.0855758996;-1.05132741
632.0;0.0856686562;-1.05205155
633.0;0.0857781913;-1.05292484
634.0;0.0858257898;-1.05335872
635.0;0.0858887385;-1.05395969
636.0;0.0859716407;-1.05472496
637.0;0.0860326927;-1.05528063
638.0;0.0861074116;-1.05589761
639.0;0.0861806753;-1.056496
640.0;0.0862473147;-1.05706647
641.0;0.0863197413;-1.05770393
642.0;0.0863887032;-1.05833169
643.0;0.0864584496;-1.05897188
644.0;0.086527018;-1.0596008
645.0;0.0865974665;-1.06023678
646.0;0.0866805221;-1.06096857
647.0;0.0867596765;-1.0616632
648.0;0.0868378253;-1.06235125
649.0;0.0869114534;-1.06300848
650.0;0.0869987576;-1.06377992
651.0;0.087046558;-1.06423458
652.0;0.0871269733;-1.06493428
653.0;0.0871934442;-1.06551405
654.0;0.0872689905;-1.06617461
655.0;0.0873285113;-1.06672736
656.0;0.0873843745;-1.06725793
657.0;0.0874509798;-1.06786713
658.0;0.0875151121;-1.06845762
659.0;0.0875829855;-1.06908151
660.0;0.0876456084;-1.06967131
661.0;0.0877093631;-1.07027186
662.0;0.0877732404;-1.07087581
663.0;0.0878389093;-1.07149647
664.0;0.0878984556;-1.07206817
665.0;0.0879659397;-1.07270539
666.0;0.0880277384;-1.07329563
667.0;0.0880869701;-1.07387097
668.0;0.0881452662;-1.07444369
669.0;0.0881996293;-1.07499114
670.0;0.088251528;-1.07552072
671.0;0.0883027627;-1.07604711
672.0;0.0883562302;-1.07658591
673.0;0.0884194671;-1.07718689
674.0;0.0884730074;-1.07769818
675.0;0.0885349857;-1.07827707
676.0;0.0885992113;-1.07887763
677.0;0.0886582444;-1.07945029
678.0;0.0887188822;-1.08004393
679.0;0.0887740486;-1.08059116
680.0;0.0888349969;-1.08117941
681.0;0.0888946451;-1.08175455
682.0;0.0889551894;-1.08233889
683.0;0.0890109767;-1.08289134
684.0;0.0890630991;-1.08342127
685.0;0.089116254;-1.08396746
686.0;0.0891633584;-1.08446981
687.0;0.0892103445;-1.08498102
688.0;0.0892523443;-1.08545506
689.0;0.0892949489;-1.08594027
690.0;0.0893368927;-1.08641701
691.0;0.0893795505;-1.08689734
692.0;0.0894241206;-1.08739335
693.0;0.0894704289;-1.08790197
694.0;0.0895197904;-1.08843195
695.0;0.0895724967;-1.08898382
696.0;0.0896256125;-1.08953457
697.0;0.089677509;-1.09007852
698.0;0.0897266653;-1.09059918
699.0;0.0897776759;-1.0911375
700.0;0.0898247939;-1.09164266
701.0;0.0898718387;-1.09215266
702.0;0.089915151;-1.09263839
703.0;0.0899577477;-1.09312363
704.0;0.0899998997;-1.09360674
705.0;0.0900422321;-1.0940945
706.0;0.0900818454;-1.09456093
707.0;0.090121295;-1.09503198
708.0;0.0901603793;-1.0954991
709.0;0.0902030787;-1.09599186
